symbol,year_id,sales,expenses,operating_profit,opm_pct,other_income,interest,depreciation,profit_before_tax,tax_pct,net_profit,eps,dividend_payout_pct,net_profit_margin_pct,expense_ratio_pct,interest_coverage,asset_turnover,return_on_assets,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,debt_to_equity,equity_ratio,operating_activity,investing_activity,financing_activity,net_cash_flow,free_cash_flow,cash_conversion_ratio,company_name,sector_id,sub_sector,company_logo,website,nse_url,bse_url,about_company,sector_name,sector_code,description,year_label,fiscal_year,quarter,is_ttm,is_half_year,sort_order,profitability,revenue_growth,de_ratio,cash_flow_quality,dividend_score,profit_growth,profitability_score,revenue_growth_score,cashflow_score,dividend_score_norm,growth_trend_score,leverage_score,health_score,health_label
DLF,201303,7773.0,5140.0,2633.0,33.87366525151164,1279.0,2314.0,796.0,802.0,17.0,667.0,4.0,48.0,8.580985462498392,66.12633474848836,1.137856525496975,0.1202375980323913,1.031757080761675,340.0,25389.0,26600.0,12318.0,64647.0,19849.0,7834.0,1334.0,35630.0,64647.0,1.0338528508686695,0.3979921728773183,2009.0,1995.0,-3951.0,52.0,4004.0,3.0119940029985006,DLF Ltd,17,Real Estate Developer,https://mkt.in/static/mkt-icons ifty100/DLF.png,https://www.dlf.in/,https://www.nseindia.com/get-quotes/equity?symbol=DLF,https://www.bseindia.com/stock-share-price/dlf-ltd/DLF/532868/,"DLF Ltd with its subsidiaries, associates and JVs is engaged in real estate development, from the identification and acquisition of land to planning, execution, construction and marketing of projects. It is also engaged in business of leasing, generation of power, provision of maintenance services, hospitality and recreational services which are related to the overall development of real estate business.",Real Estate,REAL_ESTATE,Property development companies,Mar 2013,2013.0,Q4,False,False,201303,4.8063712716300335,0.0,1.0338528508686695,5.0,48.0,0.0,24.812734082397004,19.9438202247191,97.94007490636703,83.23970037453184,33.848314606741575,38.29588014981273,44.250936329588015,WEAK
DLF,201403,8298.0,5805.0,2493.0,30.04338394793926,1133.0,2463.0,663.0,500.0,-16.0,590.0,4.0,55.0,7.110147023379128,69.95661605206074,1.012180267965895,0.1286013173188686,0.9143742735373886,356.0,27039.0,24133.0,12997.0,64525.0,18835.0,5979.0,891.0,38820.0,64525.0,0.8809271764920606,0.4245641224331654,1468.0,3924.0,-4532.0,860.0,5392.0,2.488135593220339,DLF Ltd,17,Real Estate Developer,https://mkt.in/static/mkt-icons ifty100/DLF.png,https://www.dlf.in/,https://www.nseindia.com/get-quotes/equity?symbol=DLF,https://www.bseindia.com/stock-share-price/dlf-ltd/DLF/532868/,"DLF Ltd with its subsidiaries, associates and JVs is engaged in real estate development, from the identification and acquisition of land to planning, execution, construction and marketing of projects. It is also engaged in business of leasing, generation of power, provision of maintenance services, hospitality and recreational services which are related to the overall development of real estate business.",Real Estate,REAL_ESTATE,Property development companies,Mar 2014,2014.0,Q4,False,False,201403,4.012260648458258,0.0675414897722888,0.8809271764920606,5.0,55.0,-0.11544227886056968,20.50561797752809,40.074906367041194,97.94007490636703,87.5,22.846441947565545,40.543071161048694,46.975655430711605,WEAK
DLF,201503,7649.0,4635.0,3014.0,39.40384363969146,503.0,2304.0,545.0,668.0,24.0,507.0,3.0,66.0,6.628317427114655,60.59615636030854,1.3081597222222223,0.1154356946666264,0.7651444266698862,356.0,27013.0,24495.0,14398.0,66262.0,19619.0,5901.0,623.0,40119.0,66262.0,0.8949906828894004,0.4130421659473001,2037.0,98.0,-1547.0,588.0,2135.0,4.017751479289941,DLF Ltd,17,Real Estate Developer,https://mkt.in/static/mkt-icons ifty100/DLF.png,https://www.dlf.in/,https://www.nseindia.com/get-quotes/equity?symbol=DLF,https://www.bseindia.com/stock-share-price/dlf-ltd/DLF/532868/,"DLF Ltd with its subsidiaries, associates and JVs is engaged in real estate development, from the identification and acquisition of land to planning, execution, construction and marketing of projects. It is also engaged in business of leasing, generation of power, provision of maintenance services, hospitality and recreational services which are related to the overall development of real estate business.",Real Estate,REAL_ESTATE,Property development companies,Mar 2015,2015.0,Q4,False,False,201503,3.6967309268922706,-0.07821161725717041,0.8949906828894004,4.211045364891519,66.0,-0.14067796610169492,19.56928838951311,7.9588014981273405,94.66292134831461,91.57303370786516,21.161048689138575,40.355805243445694,40.02808988764045,WEAK
DLF,201603,9926.0,5960.0,3966.0,39.955671972597216,506.0,2680.0,766.0,1026.0,55.0,305.0,2.0,117.0,3.07273826314729,60.044328027402784,1.4798507462686568,0.1607996241636832,0.4940951578674529,357.0,23712.0,25264.0,12396.0,61729.0,3943.0,1779.0,21310.0,34697.0,61729.0,1.049648926004404,0.3899139788430073,2957.0,-818.0,-1929.0,210.0,2139.0,9.695081967213117,DLF Ltd,17,Real Estate Developer,https://mkt.in/static/mkt-icons ifty100/DLF.png,https://www.dlf.in/,https://www.nseindia.com/get-quotes/equity?symbol=DLF,https://www.bseindia.com/stock-share-price/dlf-ltd/DLF/532868/,"DLF Ltd with its subsidiaries, associates and JVs is engaged in real estate development, from the identification and acquisition of land to planning, execution, construction and marketing of projects. It is also engaged in business of leasing, generation of power, provision of maintenance services, hospitality and recreational services which are related to the overall development of real estate business.",Real Estate,REAL_ESTATE,Property development companies,Mar 2016,2016.0,Q4,False,False,201603,1.7834167105073715,0.2976859720224867,1.049648926004404,5.0,100.0,-0.3984220907297831,10.955056179775282,88.01498127340824,97.94007490636703,98.92322097378276,11.610486891385769,38.014981273408246,53.68913857677902,AVERAGE
DLF,201703,8221.0,4775.0,3446.0,41.9170417224182,1135.0,2980.0,572.0,1030.0,22.0,708.0,4.0,50.0,8.612090986497993,58.0829582775818,1.1563758389261745,0.1285455170904087,1.1070456890890328,357.0,24216.0,29202.0,10179.0,63954.0,24640.0,153.0,1209.0,37952.0,63954.0,1.1883774874862654,0.3842292898020452,-898.0,872.0,787.0,761.0,-26.0,-1.268361581920904,DLF Ltd,17,Real Estate Developer,https://mkt.in/static/mkt-icons ifty100/DLF.png,https://www.dlf.in/,https://www.nseindia.com/get-quotes/equity?symbol=DLF,https://www.bseindia.com/stock-share-price/dlf-ltd/DLF/532868/,"DLF Ltd with its subsidiaries, associates and JVs is engaged in real estate development, from the identification and acquisition of land to planning, execution, construction and marketing of projects. It is also engaged in business of leasing, generation of power, provision of maintenance services, hospitality and recreational services which are related to the overall development of real estate business.",Real Estate,REAL_ESTATE,Property development companies,Mar 2017,2017.0,Q4,False,False,201703,4.859568337793513,-0.17177110618577474,1.1883774874862654,-0.03672316384180791,50.0,1.0,25.0936329588015,3.932584269662921,32.02247191011236,84.59737827715355,96.25468164794007,35.39325842696629,37.02715355805243,WEAK
DLF,201803,6707.0,4329.0,2378.0,35.455494259728646,9722.0,2951.0,534.0,8615.0,50.0,4477.0,25.0,8.0,66.75115550916952,64.54450574027136,0.8058285327007794,0.1107039696294462,7.3896178922175455,357.0,34954.0,17491.0,7783.0,60585.0,8082.0,137.0,20832.0,31533.0,60585.0,0.4953413950327093,0.5828340348271024,270.0,-2102.0,-232.0,-2064.0,-1832.0,0.0603082421264239,DLF Ltd,17,Real Estate Developer,https://mkt.in/static/mkt-icons ifty100/DLF.png,https://www.dlf.in/,https://www.nseindia.com/get-quotes/equity?symbol=DLF,https://www.bseindia.com/stock-share-price/dlf-ltd/DLF/532868/,"DLF Ltd with its subsidiaries, associates and JVs is engaged in real estate development, from the identification and acquisition of land to planning, execution, construction and marketing of projects. It is also engaged in business of leasing, generation of power, provision of maintenance services, hospitality and recreational services which are related to the overall development of real estate business.",Real Estate,REAL_ESTATE,Property development companies,Mar 2018,2018.0,Q4,False,False,201803,37.07038670069353,-0.184162510643474,0.4953413950327093,-0.40920259102077283,8.0,1.0,95.13108614232209,3.7453183520599254,25.280898876404496,19.756554307116104,96.25468164794007,50.84269662921348,50.09363295880149,AVERAGE
DLF,201903,8366.0,6218.0,2148.0,25.67535261773847,784.0,2062.0,225.0,646.0,43.0,1314.0,6.0,33.0,15.706430791298112,74.32464738226153,1.041707080504365,0.1258366800535475,1.976445106267768,441.0,33135.0,17222.0,15684.0,66483.0,6322.0,103.0,21005.0,39053.0,66483.0,0.5129258994519895,0.5050313614006589,2043.0,3.0,875.0,2921.0,2046.0,1.5547945205479452,DLF Ltd,17,Real Estate Developer,https://mkt.in/static/mkt-icons ifty100/DLF.png,https://www.dlf.in/,https://www.nseindia.com/get-quotes/equity?symbol=DLF,https://www.bseindia.com/stock-share-price/dlf-ltd/DLF/532868/,"DLF Ltd with its subsidiaries, associates and JVs is engaged in real estate development, from the identification and acquisition of land to planning, execution, construction and marketing of projects. It is also engaged in business of leasing, generation of power, provision of maintenance services, hospitality and recreational services which are related to the overall development of real estate business.",Real Estate,REAL_ESTATE,Property development companies,Mar 2019,2019.0,Q4,False,False,201903,8.84143794878294,0.24735351125689586,0.5129258994519895,1.5570776255707763,33.0,-0.7064998883180702,47.00374531835206,82.20973782771536,85.58052434456928,67.0880149812734,7.209737827715355,50.37453183520599,58.53464419475655,AVERAGE
DLF,202003,6083.0,4937.0,1146.0,18.839388459641626,1135.0,1427.0,200.0,653.0,99.0,-590.0,-2.0,-85.0,-9.699161597895776,81.16061154035837,0.803083391730904,0.1088387904813025,-1.055645016997674,495.0,33952.0,8103.0,13341.0,55890.0,5187.0,89.0,18566.0,32049.0,55890.0,0.2352309344790547,0.6163356593308285,356.0,6508.0,-9522.0,-2658.0,6864.0,-0.6033898305084746,DLF Ltd,17,Real Estate Developer,https://mkt.in/static/mkt-icons ifty100/DLF.png,https://www.dlf.in/,https://www.nseindia.com/get-quotes/equity?symbol=DLF,https://www.bseindia.com/stock-share-price/dlf-ltd/DLF/532868/,"DLF Ltd with its subsidiaries, associates and JVs is engaged in real estate development, from the identification and acquisition of land to planning, execution, construction and marketing of projects. It is also engaged in business of leasing, generation of power, provision of maintenance services, hospitality and recreational services which are related to the overall development of real estate business.",Real Estate,REAL_ESTATE,Property development companies,Mar 2020,2020.0,Q4,False,False,202003,-5.377403307446725,-0.27289027014104705,0.2352309344790547,-5.0,0.0,-1.0,2.0599250936329585,1.1235955056179776,2.9494382022471908,6.367041198501873,2.902621722846442,57.39700374531835,13.588483146067416,POOR
DLF,202103,5414.0,3945.0,1469.0,27.133357960842257,383.0,853.0,159.0,840.0,43.0,1083.0,4.0,45.0,20.003694126339123,72.86664203915774,1.7221570926143024,0.1012189650014956,2.024753215674544,495.0,34849.0,6886.0,11258.0,53488.0,4856.0,95.0,19746.0,28791.0,53488.0,0.1948279764599366,0.6607837271911456,1460.0,150.0,-2184.0,-573.0,1610.0,1.348107109879963,DLF Ltd,17,Real Estate Developer,https://mkt.in/static/mkt-icons ifty100/DLF.png,https://www.dlf.in/,https://www.nseindia.com/get-quotes/equity?symbol=DLF,https://www.bseindia.com/stock-share-price/dlf-ltd/DLF/532868/,"DLF Ltd with its subsidiaries, associates and JVs is engaged in real estate development, from the identification and acquisition of land to planning, execution, construction and marketing of projects. It is also engaged in business of leasing, generation of power, provision of maintenance services, hospitality and recreational services which are related to the overall development of real estate business.",Real Estate,REAL_ESTATE,Property development companies,Mar 2021,2021.0,Q4,False,False,202103,11.014223671006834,-0.10997862896597077,0.1948279764599366,1.4866112650046168,45.0,-1.0,56.92883895131086,6.086142322097379,84.8314606741573,80.99250936329588,2.902621722846442,58.520599250936336,48.267790262172284,WEAK
DLF,202203,5717.0,3974.0,1743.0,30.488018191359107,195.0,625.0,149.0,1165.0,28.0,1500.0,6.0,49.0,26.237537169844323,69.5119818086409,2.7888,0.111732171125921,2.931576992983759,495.0,35867.0,4182.0,10623.0,51167.0,4862.0,81.0,19779.0,26444.0,51167.0,0.1150101754578956,0.710653350792503,2832.0,267.0,-3828.0,-729.0,3099.0,1.888,DLF Ltd,17,Real Estate Developer,https://mkt.in/static/mkt-icons ifty100/DLF.png,https://www.dlf.in/,https://www.nseindia.com/get-quotes/equity?symbol=DLF,https://www.bseindia.com/stock-share-price/dlf-ltd/DLF/532868/,"DLF Ltd with its subsidiaries, associates and JVs is engaged in real estate development, from the identification and acquisition of land to planning, execution, construction and marketing of projects. It is also engaged in business of leasing, generation of power, provision of maintenance services, hospitality and recreational services which are related to the overall development of real estate business.",Real Estate,REAL_ESTATE,Property development companies,Mar 2022,2022.0,Q4,False,False,202203,14.58455708141404,0.05596601403768009,0.1150101754578956,2.066,49.0,0.3850415512465375,71.91011235955057,37.453183520599254,88.95131086142321,83.89513108614233,80.89887640449437,64.41947565543072,68.17415730337079,AVERAGE
DLF,202303,5695.0,3969.0,1726.0,30.30728709394205,317.0,392.0,149.0,1502.0,27.0,2034.0,8.0,49.0,35.71553994732221,69.69271290605793,4.403061224489796,0.1083276268736209,3.868979685003424,495.0,37192.0,3334.0,11551.0,52572.0,4785.0,61.0,19481.0,28245.0,52572.0,0.0884655186138456,0.716864490603363,2375.0,-461.0,-2013.0,-98.0,1914.0,1.1676499508357916,DLF Ltd,17,Real Estate Developer,https://mkt.in/static/mkt-icons ifty100/DLF.png,https://www.dlf.in/,https://www.nseindia.com/get-quotes/equity?symbol=DLF,https://www.bseindia.com/stock-share-price/dlf-ltd/DLF/532868/,"DLF Ltd with its subsidiaries, associates and JVs is engaged in real estate development, from the identification and acquisition of land to planning, execution, construction and marketing of projects. It is also engaged in business of leasing, generation of power, provision of maintenance services, hospitality and recreational services which are related to the overall development of real estate business.",Real Estate,REAL_ESTATE,Property development companies,Mar 2023,2023.0,Q4,False,False,202303,19.79225981616282,-0.003848172118243842,0.0884655186138456,0.9410029498525073,49.0,0.3560000000000001,85.48689138576779,14.981273408239701,72.65917602996255,83.89513108614233,78.55805243445693,68.25842696629213,65.16385767790261,AVERAGE
DLF,202403,6427.0,4303.0,2124.0,33.04807841916913,531.0,356.0,148.0,2151.0,24.0,2724.0,11.0,45.0,42.38369379181578,66.95192158083087,5.966292134831461,0.1088049569147945,4.611555976908361,495.0,38936.0,4834.0,14804.0,59069.0,3880.0,71.0,20138.0,34981.0,59069.0,0.1225938982019223,0.6675413499466726,2539.0,-1529.0,177.0,1186.0,1010.0,0.9320851688693098,DLF Ltd,17,Real Estate Developer,https://mkt.in/static/mkt-icons ifty100/DLF.png,https://www.dlf.in/,https://www.nseindia.com/get-quotes/equity?symbol=DLF,https://www.bseindia.com/stock-share-price/dlf-ltd/DLF/532868/,"DLF Ltd with its subsidiaries, associates and JVs is engaged in real estate development, from the identification and acquisition of land to planning, execution, construction and marketing of projects. It is also engaged in business of leasing, generation of power, provision of maintenance services, hospitality and recreational services which are related to the overall development of real estate business.",Real Estate,REAL_ESTATE,Property development companies,Mar 2024,2024.0,Q4,False,False,202403,23.49762488436207,0.12853380158033367,0.1225938982019223,0.3707782672540382,45.0,0.3392330383480826,91.10486891385767,59.08239700374532,49.62546816479401,80.99250936329588,77.99625468164794,63.857677902621724,70.70692883895131,GOOD
