symbol,year_id,sales,expenses,operating_profit,opm_pct,other_income,interest,depreciation,profit_before_tax,tax_pct,net_profit,eps,dividend_payout_pct,net_profit_margin_pct,expense_ratio_pct,interest_coverage,asset_turnover,return_on_assets
CHOLAFIN,202303,12884,5748,3621.0,28.104625892579943,27,220,121,3615,26.0,2665,32.0,6.0,20.684570009313877,44.6134740763738,16.45909090909091,0.113388543215961,2.3453932604046575
CHOLAFIN,202403,19163,9231,5385.0,28.10102802275218,24,255,198,4605,26.0,3420,41.0,5.0,17.846892448990243,48.17095444345875,21.11764705882353,0.12230192869816066,2.1827093677801463
CHOLAFIN,999999,22502,10875,6452.0,28.673006843836102,23,248,243,5180,,3852,46.0,,17.118478357479336,48.3290374188961,26.016129032258064,,
CIPLA,201303,8279,34,6065.0,73.25763981157145,27,245,330,2095,26.0,1545,19.0,10.0,18.661674115231307,0.41067761806981523,24.755102040816325,0.7101561159718648,13.252702007205352
CIPLA,201403,10173,146,8026.0,78.89511451882434,21,251,373,1880,25.0,1404,17.0,12.0,13.80123857269242,1.4351715324879581,31.97609561752988,0.7591791044776119,10.477611940298507
CIPLA,201503,11345,168,9183.0,80.94314676068753,19,164,505,1654,24.0,1229,15.0,14.0,10.832966064345527,1.4808285588364918,55.99390243902439,0.7239948947032546,7.84301212507977
CIPLA,201603,13790,207,11310.0,82.01595358955765,18,208,754,1727,19.0,1383,17.0,12.0,10.029006526468455,1.501087744742567,54.375,0.6551380113069505,6.570383391134971
CIPLA,201703,14394,159,11898.0,82.65944143393081,17,208,1323,1222,15.0,1035,13.0,16.0,7.190496040016674,1.1046269278866194,57.20192307692308,0.6897311802194642,4.959509320044084
CIPLA,201803,15156,114,12329.0,81.3473211929269,19,280,1323,1669,15.0,1417,18.0,17.0,9.349432567959884,0.7521773555027712,44.03214285714286,0.668460283156177,6.249724341728047
CIPLA,201903,16362,168,13265.0,81.07199608849774,19,477,1326,2079,27.0,1492,19.0,16.0,9.118689646742451,1.0267693436010268,27.80922431865828,0.6885784024913728,6.278932749768538
CIPLA,202003,17132,197,13926.0,81.28648143824422,19,344,1175,2178,29.0,1500,19.0,21.0,8.755545178613122,1.1498949334578565,40.48255813953488,0.731417837168595,6.403961917773129
CIPLA,202103,19160,161,14907.0,77.80271398747391,22,266,1068,3290,27.0,2389,30.0,17.0,12.468684759916492,0.8402922755741128,56.04135338345865,0.7708710521021928,9.611748139207403
