symbol,company_name,sector_id,sub_sector,company_logo,website,nse_url,bse_url,face_value,book_value,about_company
TATAMOTORS,Tata Motors Ltd,1,Passenger & CV,https://mkt.in/static/mkt-icons ifty100/TATAMOTORS.png,https://www.tatamotors.com/,https://www.nseindia.com/get-quotes/equity?symbol=TATAMOTORS,https://www.bseindia.com/stock-share-price/tata-motors-ltd/TATAMOTORS/500570/,2.0,275.0,"Tata Motors Group is a leading global automobile manufacturer. Part of the illustrious multi-national conglomerate, the Tata group, it offers a wide and diverse portfolio of cars, sports utility vehicles, trucks, buses and defence vehicles to the world. It has operations in India, the UK, South Korea, South Africa, China, Brazil, Austria and Slovakia through a strong global network of subsidiaries, associate companies and Joint Ventures (JVs), including Jaguar Land Rover in the UK and Tata Daewoo in South Korea."
TATAPOWER,Tata Power Company Ltd,16,Power Generation,https://mkt.in/static/mkt-icons ifty100/TATAPOWER.png,https://www.tatapower.com/,https://www.nseindia.com/get-quotes/equity?symbol=TATAPOWER,https://www.bseindia.com/stock-share-price/tata-power-company-ltd/TATAPOWER/500400/,1.0,105.0,"Tata Power Company Ltd is primarily involved in the business of the generation, transmission and distribution of electricity. It aims to produce electricity completely through renewable sources. It also manufactures solar roofs and plans to build 1 lakh ev charging stations by 2025[1] The company is India's largest vertically-integrated power company."
TATASTEEL,Tata Steel Ltd,13,Steel,https://mkt.in/static/mkt-icons ifty100/TATASTEEL.png,https://www.tatasteel.com/,https://www.nseindia.com/get-quotes/equity?symbol=TATASTEEL,https://www.bseindia.com/stock-share-price/tata-steel-ltd/TATASTEEL/500470/,1.0,72.0,Tata Steel Ltd is Asia's first integrated private steel company setup in 1907. The company has presence across the entire value chain of steel manufacturing from mining and processing iron ore and coal to producing and distributing finished products. The company has a target to increase domestic steelmaking capacity to 30 MnTPA by 2025.
TCS,Tata Consultancy Services Ltd,10,IT Services,https://images.5paisa.com/MarketIcons/TCS.png,https://www.tcs.com/,https://www.nseindia.com/get-quotes/equity?symbol=TCS,https://www.bseindia.com/stock-share-price/tata-consultancy-services-ltd/TCS/532540/,1.0,281.0,"Tata Consultancy Services is the flagship company and a part of Tata group. It is an IT services, consulting and business solutions organization that has been partnering with many of the world's largest businesses in their transformation journeys for over 50 years. TCS offers a consulting-led, cognitive powered, integrated portfolio of business, technology and engineering services and solutions."
TECHM,Tech Mahindra Ltd,10,IT Services,https://mkt.in/static/mkt-icons ifty100/TECHM.png,https://www.techmahindra.com/,https://www.nseindia.com/get-quotes/equity?symbol=TECHM,https://www.bseindia.com/stock-share-price/tech-mahindra-ltd/TECHM/532755/,5.0,270.0,"Tech Mahindra Ltd provides comprehensive range of IT services, including IT enabled service, application development and"
TITAN,Titan Company Ltd,4,Jewellery & Watches,https://mkt.in/static/mkt-icons ifty100/TITAN.png,https://www.titancompany.in/,https://www.nseindia.com/get-quotes/equity?symbol=TITAN,https://www.bseindia.com/stock-share-price/titan-company-ltd/TITAN/500114/,1.0,110.0,"Titan Company Ltd is among India's most respected lifestyle companies. It has established leadership positions in the Watches, Jewellery and Eyewear categories led by its trusted brands and differentiated customer experience. It was founded in 1984 as a joint-venture between TATA Group and Tamilnadu Industrial Development Corporation (TIDCO). [1]"
TORNTPHARM,Torrent Pharmaceuticals Ltd,8,Pharma,https://mkt.in/static/mkt-icons ifty100/TORNTPHARM.png,https://www.torrentpharma.com/,https://www.nseindia.com/get-quotes/equity?symbol=TORNTPHARM,https://www.bseindia.com/stock-share-price/torrent-pharmaceuticals-ltd/TORNTPHARM/500420/,5.0,222.0,"Torrent Pharmaceuticals Ltd is one of the leading Indian Pharmaceutical Company engaged in research, development, manufacturing and marketing of generic pharmaceutical formulations. It is the flagship company of Torrent Group which also has presence in power and city gas distribution businesses."
TRENT,Trent Ltd,4,Retail,https://mkt.in/static/mkt-icons ifty100/TRENT.png,https://trentlimited.com/,https://www.nseindia.com/get-quotes/equity?symbol=TRENT,https://www.bseindia.com/stock-share-price/trent-ltd/TRENT/500251/,1.0,132.0,"Trent Ltd is engaged in retailing of apparels, footwear, accessories, toys, games, food, grocery & non food products through various of its retail formats/ concepts.[1]"
TVSMOTOR,TVS Motor Company Ltd,1,2W,https://mkt.in/static/mkt-icons ifty100/TVSMOTOR.png,,,,,,'TVS Motor Company Ltd (TVSM) is engaged in manufacturing two-wheelers and its accessories
ULTRACEMCO,UltraTech Cement Ltd,3,Cement,,https://www.ultratechcement.com/,https://www.nseindia.com/get-quotes/equity?symbol=ULTRACEMCO,https://www.bseindia.com/stock-share-price/ultratech-cement-ltd/ULTRACEMCO/532538/,,,"UltraTech Cement Ltd is India's largest manufacturer of grey cement, ready-mix concrete, and white cement."
UNIONBANK,Union Bank of India,2,Public Bank,,https://www.unionbankofindia.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=UNIONBANK,https://www.bseindia.com/stock-share-price/union-bank-of-india/UNIONBANK/532477/,,,Union Bank of India is a public sector bank offering retail and corporate banking services.
UNITDSPR,United Spirits Ltd,4,Beverages,,https://www.diageoindia.com/,https://www.nseindia.com/get-quotes/equity?symbol=UNITDSPR,https://www.bseindia.com/stock-share-price/united-spirits-ltd/UNITDSPR/532432/,,,United Spirits Ltd is a leading alcoholic beverages company in India.
VBL,Varun Beverages Ltd,4,Beverages,,https://www.varunbeverages.com/,https://www.nseindia.com/get-quotes/equity?symbol=VBL,https://www.bseindia.com/stock-share-price/varun-beverages-ltd/VBL/540180/,,,Varun Beverages Ltd is a bottling and distribution company for PepsiCo beverages.
VEDL,Vedanta Ltd,13,Diversified Metals & Mining,,https://www.vedantalimited.com/,https://www.nseindia.com/get-quotes/equity?symbol=VEDL,https://www.bseindia.com/stock-share-price/vedanta-ltd/VEDL/500295/,,,Vedanta Ltd is a diversified natural resources company with interests in metals and mining.
WIPRO,Wipro Ltd,10,IT Services,,https://www.wipro.com/,https://www.nseindia.com/get-quotes/equity?symbol=WIPRO,https://www.bseindia.com/stock-share-price/wipro-ltd/WIPRO/507685/,,,Wipro Ltd is an IT services and consulting company.
ZOMATO,Zomato Ltd,5,Internet Services,,https://www.zomato.com/,https://www.nseindia.com/get-quotes/equity?symbol=ZOMATO,https://www.bseindia.com/stock-share-price/zomato-ltd/ZOMATO/543320/,,,Zomato Ltd is an internet platform for food delivery and restaurant discovery.
ZYDUSLIFE,Zydus Lifesciences Ltd,8,Pharma,,https://www.zyduslife.com/,https://www.nseindia.com/get-quotes/equity?symbol=ZYDUSLIFE,https://www.bseindia.com/stock-share-price/zydus-lifesciences-ltd/ZYDUSLIFE/532340/,,,Zydus Lifesciences Ltd is a pharmaceutical company focused on healthcare and research.
AGTL,Adani Total Gas Ltd,6,Gas Distribution,,https://www.adanigas.com/,https://www.nseindia.com/get-quotes/equity?symbol=AGTL,,,,Adani Total Gas Ltd is engaged in City Gas Distribution (CGD) business.
INDIGO,Interglobe Aviation Ltd,19,Aviation,https://rb.gy/rv6gr8,http://www.goindigo.in/,https://www.nseindia.com/get-quotes/equity?symbol=INDIGO,https://www.bseindia.com/stock-share-price/interglobe-aviation-ltd/INDIGO/539448/,10.0,97.0,"Interglobe Aviation Ltd (Indigo) is India's largest passenger airline operating as a low-cost carrier. Serving 86 destinations including 24 international destinations, it provides passengers with a simple, unbundled product, fulfilling its singular brand promise of providing low fares, on-time flights, and a courteous and hassle-free service to its customers. IndiGo commenced operations in August 2006 with a single aircraft and has grown its fleet to 262 aircrafts."
